word,freq
comfortable,56015
space,42044
restaurants,33544
nyc,33251
neighborhood,31032
bed,28398
en,23346
night,22293
hosts,18376
enjoyed,18347
walking,18279
safe,18156
est,17808
communication,17128
metro,15077
days,14952
questions,14541
distance,14495
trip,14340
excellent,13269
bien,12969
visit,12047
spot,11516
arrival,11391
nearby,11159
awesome,10854
local,10745
welcoming,10306
living,9538
central,9441
comfy,9315
cool,9306
private,8815
noise,8532
pretty,8348
beds,8102
respond,8020
la,7830
love,7615
expected,7525
hospitality,7394
air,7361
public,7314
towels,7274
book,7186
super,7173
arrived,7106
water,6586
didn’t,6558
park,6507
dans,6479
hot,6388
canceled,6361
williamsburg,6278
left,6237
easy,6175
visiting,6156
fast,6029
decorated,5889
responded,5883
flexible,5833
thoughtful,5387
appartement,5325
pleasant,5171
flight,5159
issues,5099
meet,5062
las,4982
des,4914
studio,4914
der,4783
casa,4771
noisy,4691
apartment,4679
perfectly,4650
lines,4554
modern,4537
leave,4470
apartamento,4457
return,4454
money,4396
host,4373
airport,4275
exploring,4251
séjour,4089
downtown,4043
situé,4028
check,3957
simple,3903
ideal,3892
fridge,3874
accessible,3867
mais,3855
está,3823
lugar,3760
incredibly,3759
appartment,3747
avons,3727
hope,3666
front,3649
die,3573
worth,3554
guest,3552
di,3546
process,3463
touch,3441
offered,3392
beautiful,3331
real,3313
propre,3208
busy,3205
care,3198
le,3191
including,3184
tout,3136
car,3135
steps,3067
checking,3042
como,3018
nicely,2968
dog,2961
confortable,2908
affordable,2908
lots,2892
answer,2886
i’m,2870
free,2839
wifi,2752
fue,2751
hour,2737
wohnung,2696
notre,2627
je,2539
contact,2529
rooftop,2468
solo,2456
fantastic,2425
bring,2409
bathrooms,2404
fresh,2396
accurate,2380
wait,2349
forward,2339
für,2295
wife,2288
choice,2276
calme,2268
mattress,2245
evening,2194
checkin,2192
common,2159
il,2143
relax,2139
ferry,2124
table,2110
bath,2090
tiene,2079
quiet,2078
zona,2077
prospect,2050
midtown,2047
feels,2038
downstairs,2020
alex,2004
wir,1964
fan,1961
gem,1951
upstairs,1950
queens,1942
looked,1915
pictured,1895
uber,1862
ein,1855
option,1826
major,1812
très,1809
sparkling,1789
walkable,1778
weather,1774
weeks,1771
cooking,1765
dryer,1756
hay,1734
advice,1714
communicated,1706
enjoyable,1697
comfortably,1691
east,1685
accommodations,1683
bonus,1679
phone,1677
convenience,1677
stars,1671
island,1670
cleaned,1657
completely,1647
convenient,1639
balcony,1634
amable,1621
conditioner,1618
l'appartement,1613
hesitate,1613
plenty,1610
tourist,1596
cómodo,1592
boyfriend,1558
das,1550
unterkunft,1536
that’s,1532
von,1518
calm,1511
disponible,1505
backyard,1504
ubicado,1501
fotos,1499
directly,1495
drink,1480
earplugs,1460
wine,1460
move,1449
proximité,1446
shampoo,1439
cama,1436
couples,1429
spacious,1429
appointed,1416
feeling,1414
waren,1410
vacation,1404
disappointed,1401
terrific,1397
fairly,1391
staying,1387
leaving,1386
lage,1381
system,1378
quick,1376
supermarkets,1371
straight,1367
mention,1362
tranquilo,1357
hand,1349
children,1330
apartments,1328
sind,1325
earlier,1313
pizza,1311
cozy,1309
reply,1308
separate,1305
situation,1305
bem,1286
drinks,1285
clothes,1282
called,1266
complaints,1261
vraiment,1259
there’s,1245
petit,1245
doors,1241
moment,1235
brownstone,1232
era,1224
handy,1217
anfitrión,1192
prior,1158
bathroom,1154
ya,1154
center,1153
ground,1144
salle,1136
het,1121
hip,1121
ma,1120
i’ll,1119
standards,1112
;,1112
и,1103
